#{"t_start": 1633480443.85006, "env_id": null}
r,l,t 
1,9,20737.70008
1,9,20739.727117
0,8,20741.298118
0,8,20743.674091
1,8,20745.787117
1,8,20748.33008
1,8,20750.539082
1,8,20752.338117
1,8,20754.366117
0,8,20756.340117
0,8,20759.515118
0,8,20763.530082
1,8,20766.645082
0,8,20768.605082
1,8,20771.128082
0,8,20773.43208
1,8,20775.85708
0,8,20777.829082
1,8,20780.046104
0,8,20781.43812
1,8,20783.634118
0,8,20785.84208
0,8,20788.040117
0,8,20790.32308
1,9,20793.795083
0,8,20795.82908
0,8,20797.67108
0,8,20799.769117
1,8,20802.403117
0,8,20804.29208
0,8,20807.263082
0,9,20809.748082
1,9,20812.164117
1,9,20815.06908
0,9,20817.012081
1,9,20819.266117
0,8,20821.448117
0,8,20823.883117
1,8,20825.714117
1,8,20829.612082
0,8,20831.977081
0,8,20834.565082
0,8,20836.259117
0,8,20838.409117
1,8,20840.720083
0,8,20842.819082
1,8,20844.748082
0,9,20846.994117
1,8,20848.833115
0,8,20850.623117
0,8,20852.044115
1,8,20854.562082
1,8,20856.548082
0,8,20858.444082
1,8,20860.746082
1,8,20862.999082
0,8,20865.636082
0,8,20868.086117
1,8,20870.107117
0,9,20873.096082
1,8,20874.96008
1,8,20877.113117
1,8,20878.936117
1,8,20882.776082
1,8,20885.071119
1,9,20888.12008
1,8,20891.658118
0,9,20894.014082
1,8,20896.847082
0,8,20900.966082
0,8,20902.733083
1,8,20904.90108
0,8,20906.58108
0,8,20908.536082
1,8,20910.92408
0,8,20912.986117
1,9,20915.39308
1,8,20917.276082
0,8,20918.88108
0,8,20921.186116
1,9,20924.824082
1,8,20927.255117
0,9,20929.41708
1,9,20931.804117
0,8,20933.780082
1,9,20935.961082
1,9,20938.12608
0,9,20940.25408
0,11,20943.14208
0,9,20945.43208
0,9,20947.073117
0,9,20949.615081
0,8,20951.401118
1,8,20953.707117
0,8,20955.96808
0,9,20959.703118
0,8,20961.989082
0,8,20963.831118
1,8,20965.551082
1,9,20969.870082
0,9,20974.774082
0,8,20977.37008
0,8,20980.384082
1,8,20983.234083
0,8,20984.93608
0,8,20986.72008
1,8,20989.177082
0,8,20991.321105
0,8,20993.385082
0,8,20995.265082
0,8,20997.125117
1,8,20999.409083
1,8,21002.167117
0,8,21004.029117
1,8,21006.483082
0,8,21008.402117
0,8,21010.95912
1,8,21013.414082
1,8,21015.637079
0,8,21019.098116
0,8,21020.779115
0,9,21022.966079
0,8,21025.154079
1,8,21027.935081
1,8,21030.596079
0,8,21033.030116
0,8,21034.618118
0,8,21036.76008
0,8,21038.642079
1,8,21041.744116
0,8,21044.681081
0,8,21046.681082
0,7,21049.316079
0,7,21051.292116
0,7,21053.720082
0,7,21056.351118
0,7,21058.623079
0,8,21060.884082
0,7,21064.237082
0,8,21066.19808
0,7,21068.788081
0,7,21070.332116
0,8,21072.458116
0,7,21077.659081
0,7,21079.492079
0,7,21080.99508
0,7,21083.081079
0,7,21084.842082
0,7,21086.911079
0,7,21089.283079
0,7,21091.172103
0,8,21093.046082
0,8,21095.210079
0,8,21097.493116
0,7,21100.154119
0,7,21104.363081
0,7,21106.759082
1,7,21113.318104
0,7,21115.137082
0,8,21117.297082
0,8,21119.041081
0,7,21121.334082
0,8,21123.197079
0,7,21125.345079
0,8,21128.055082
0,8,21130.800082
0,8,21132.856116
0,8,21137.564081
0,10,21140.301116
0,11,21143.274079
0,9,21145.365118
1,14,21147.88008
0,10,21150.338079
0,16,21152.970079
0,12,21156.044103
0,17,21159.21708
0,13,21162.217114
0,9,21164.28808
0,9,21166.536079
0,10,21168.912081
0,9,21171.242079
1,8,21174.500082
0,9,21177.263116
0,8,21180.154082
1,8,21184.269079
0,8,21186.882115
1,9,21189.446082
0,8,21192.850082
0,8,21195.503082
0,9,21198.570114
0,9,21200.48908
0,9,21202.505082
0,10,21204.998116
0,8,21207.030082
0,8,21208.645104
0,11,21210.826079
0,9,21212.67808
0,9,21215.37008
0,13,21218.032115
0,13,21220.488082
0,15,21224.745082
0,14,21227.425114
0,20,21229.723079
0,10,21232.470082
0,18,21235.639117
0,20,21237.723079
0,15,21240.243116
0,18,21246.070116
0,20,21248.012081
0,20,21250.145082
0,20,21252.360081
0,19,21255.100079
0,20,21257.965079
0,20,21261.045082
0,18,21263.282116
0,10,21266.986082
0,10,21268.896115
1,9,21271.077079
0,12,21272.965082
1,10,21275.235114
1,10,21278.603116
0,9,21283.066082
0,9,21284.612114
0,8,21286.896079
0,8,21289.759116
0,8,21292.204082
0,10,21294.678113
0,7,21296.171082
1,9,21298.448079
0,7,21304.648082
1,8,21308.339117
0,7,21310.584079
0,8,21312.268099
1,8,21314.734081
1,8,21317.000082
1,9,21319.12108
0,7,21321.469082
0,7,21323.032116
